osm-id	version	latitudine	longitudine	road	house-number	suburb	district	city	county	state	post-code	country	cc	continent	amenity	brand	car	cu-code	cu-recharge	cu-state	elapsed-time	enel-name	enel-post-code	name	region	serial-number	usage-level	zona
4295717977	7	43.720905	10.389187	via Diotisalvi				Pisa			56100	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000030	FINISHED	ACTIVE	0	via Diotisalvi 2	0	ENEL_00000030	Tuscany	N.10EP21T2302A000019	0	Pisa
4295717978	7	44.36	11.719722	Via Cogne				Imola			40026	Italia	IT	European Union	charging_station	Enel	yes	HERA_00000010	FINISHED	ACTIVE	0	Cogne	40026	HERA_00000010	Emilia Romagna	N.11ZP21T2B01C000030	0	Bologna
4295717979	7	43.099834	12.369485	Via Armando Diaz				Perugia			6126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000413	FINISHED	ACTIVE	0	Diaz	6128	ENEL_00000413	Umbria	N.11EP21T2301C000014	0	Perugia
		38.1393	13.3495	Via Marchese di Villabianca				Palermo			90143	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000435	FINISHED	MAINTENANCE	0	PE Parlermo	90100	ENEL_00000435	Sicily	N.11EP21T2301C000049	0	Palermo
4295717980	7	43.71096	10.39152	Via Porta a Mare				Pisa			56125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000210	FINISHED	ACTIVE	0	Via Porta a Mare 23	0	ENEL_00000210	Tuscany	N.10EP21T2302B000113	0	Pisa
4295717981	7	45.43903	12.31248	Rampa San Basilio				Venezia			30123	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000351	FINISHED	ACTIVE	0	fabbricato_238	30135	ENEL_00000351	Veneto	N.11EP21T2301C000026	0	Venice
4295717982	7	43.7099	10.3994	Via Gian Battista Queirolo				Pisa			56125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000363	FINISHED	ACTIVE	0	Queirolo	56125	ENEL_00000363	Tuscany	N.11EP21T2301C000016	0	Pisa
4295717983	7	43.6715	10.27455	Via Duodo Duodi				Pisa				Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000288	FINISHED	ACTIVE	0	Duodi 2	56128	ENEL_00000288	Tuscany	N.11EP21T2302C000180	0	Pisa
4295717984	7	44.063004	12.586901	Via  Le Notti di Cabiria				Rimini			47924	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000569	FINISHED	ACTIVE	0	Cabiria mare	47921	ENEL_00000569	Emilia Romagna	N.13EP22T5311F000009	0	Rimini
		41.08901	16.89684	Via Caduti del Lavoro (Ikea)				Bari			70125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000607	FINISHED	INSTALLED	0	Caduti del Lavoro 1	70126	ENEL_00000607	Puglia	N.13EP21T2301H000006	0	Bari
4295717985	7	45.054253	9.695491	Via Camillo Cavour				Piacenza			29121	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000364	FINISHED	ACTIVE	0	Cavour 2	29121	ENEL_00000364	Emilia Romagna	N.11EP21T2302E000236	0	Piacenza
4295717986	7	41.8746	12.48568	Via dei Verbiti				Roma			154	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000158	FINISHED	ACTIVE	0	Via dei Verbiti	0	ENEL_00000158	Lazio	N.10CP21T2B02B000065	0	Rome
		41.832607	12.462608	Viale Europa incrocio Largo Apollinare				Roma			144	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000489	FINISHED	MAINTENANCE	0	apollinare	144	ENEL_00000489	Lazio	N.11CP21T2B01C000028	0	Rome
		43.70518	10.40137	Piazza Giusti				Pisa			56125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000599	FINISHED	INSTALLED	0	Giusti	0	ENEL_00000599	Tuscany	N.10EP21T2302B000111	0	Pisa
4295717987	7	41.874233	12.486341	Via dei Verbiti				Roma			154	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000314	FINISHED	ACTIVE	0	Car Sharing - Verbiti 2	0	ENEL_00000314	Lazio	N.11CP21T2B02C000105	0	Rome
4295717988	7	44.715664	10.163817	Viale Rodolfo Morandi				Reggio Nell'Emilia			43014	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000349	FINISHED	ACTIVE	0	Morandi	42124	ENEL_00000349	Emilia Romagna	N.11EP21T2302E000223	0	Reggio Emilia
